% function evaluation | noise-free fitness - Fopt (8.333000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.159862400e+03 +1.159862400e+03 +1.243192400e+03 +1.243192400e+03 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
33 +9.527303740e+02 +9.527303740e+02 +1.036060374e+03 +1.036060374e+03 +4.5746e+00 -2.0261e+00 -1.5587e+00 +1.7746e+00 +7.6932e-01 -3.5282e+00 +2.6288e+00 +3.6699e+00 -2.3914e-01 +3.4390e+00 -3.5116e+00 -3.5025e+00 +3.2925e+00 -2.3709e+00 +1.8350e+00 -3.3833e+00 -1.1747e+00 +1.8524e+00 +2.6345e+00 +1.1008e+00
% function evaluation | noise-free fitness - Fopt (2.085600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.128986221e+03 +1.128986221e+03 +1.337546221e+03 +1.337546221e+03 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
19 +7.304866711e+02 +7.304866711e+02 +9.390466711e+02 +9.390466711e+02 +1.0447e+00 +9.9770e-01 +2.7568e+00 +7.5323e-02 +1.1842e+00 -1.8764e+00 -3.4019e-03 +3.4584e+00 -2.2559e+00 -2.5383e+00 -4.9492e+00 +3.3619e+00 -3.3091e-01 -5.9185e-01 +1.3378e+00 -4.0070e+00 +2.1210e+00 +1.0354e+00 -4.9821e+00 +2.1663e+00
% function evaluation | noise-free fitness - Fopt (-1.345800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.174010679e+03 +1.174010679e+03 +1.039430679e+03 +1.039430679e+03 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
22 +9.591233110e+02 +9.591233110e+02 +8.245433110e+02 +8.245433110e+02 -4.6466e+00 +1.4609e+00 +3.8057e+00 -1.4947e+00 -4.4121e+00 +4.1688e+00 +3.4963e+00 -4.5689e+00 +3.4414e+00 -4.0508e+00 +3.0920e-01 +1.1060e-01 -6.1725e-01 -3.2980e+00 +1.0795e+00 +7.8825e-01 +2.8587e+00 -3.5854e+00 +1.6189e+00 +3.2136e+00
61 +6.120714569e+02 +6.120714569e+02 +4.774914569e+02 +4.774914569e+02 -1.3917e+00 +3.5897e+00 +1.9687e+00 +1.3176e+00 +4.8593e-01 +8.9325e-01 +4.9447e+00 -3.5689e-01 -4.7733e+00 +3.8220e-01 +1.0343e+00 +1.9273e+00 +1.6192e+00 -3.6633e+00 -6.8033e-01 -3.5874e+00 +1.3798e+00 +2.7304e+00 +3.4348e+00 +3.8338e+00
% function evaluation | noise-free fitness - Fopt (1.205900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.120007664e+03 +1.120007664e+03 +1.240597664e+03 +1.240597664e+03 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
8 +8.419250124e+02 +8.419250124e+02 +9.625150124e+02 +9.625150124e+02 +2.6384e+00 -1.6243e+00 -2.8947e+00 +9.4687e-01 +4.7634e+00 +3.3811e+00 +7.6928e-01 -4.8589e+00 +5.1321e-01 +3.3567e+00 -2.4346e+00 +2.9541e+00 -1.6852e+00 +3.9242e+00 -2.1498e+00 +5.2187e-01 +2.2975e-01 -4.3779e+00 +1.0779e+00 +1.8851e+00
44 +6.258610627e+02 +6.258610627e+02 +7.464510627e+02 +7.464510627e+02 -1.0262e+00 +4.0581e-01 +1.7791e+00 +9.0915e-01 -2.8486e+00 -4.3249e+00 +1.4752e+00 -9.9068e-01 +4.3201e+00 +3.0659e+00 -5.4490e-02 -2.2938e+00 -1.3097e+00 +2.7633e+00 -3.5763e+00 +1.7637e+00 +1.5383e+00 -4.7501e+00 +3.1171e-01 +5.1264e-01
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.147194817e+03 +4.147194817e+03 +5.147194817e+03 +5.147194817e+03 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
2 +3.697329664e+03 +3.697329664e+03 +4.697329664e+03 +4.697329664e+03 +3.8016e+00 +3.0902e+00 +2.0526e+00 -3.0628e-01 -3.1270e+00 +3.0911e+00 -1.3802e-01 -4.1175e+00 +9.9079e-01 -1.7322e+00 -3.7957e+00 +3.2599e+00 +6.0806e-02 -3.8838e+00 -4.7703e+00 -4.0203e+00 +1.7238e+00 +2.4074e+00 +1.8027e+00 -1.7794e+00
3 +2.323311067e+03 +2.323311067e+03 +3.323311067e+03 +3.323311067e+03 -2.6679e+00 -1.2322e+00 -3.6820e+00 +4.5300e-01 -3.5204e+00 -3.8737e+00 +3.3869e+00 -3.0534e+00 +8.7957e-01 -1.5340e+00 -4.7361e-01 +2.2285e+00 -7.2479e-01 -2.2236e+00 -2.4504e+00 +2.6317e+00 -4.5239e+00 +3.5344e+00 -3.2576e-01 -4.4305e+00
4 +1.269614786e+03 +1.269614786e+03 +2.269614786e+03 +2.269614786e+03 +4.6560e+00 -4.6556e+00 -4.3050e+00 +4.2233e+00 +4.2652e+00 +3.9650e+00 -3.9738e+00 +2.9711e+00 +4.2334e+00 -4.9474e+00 +1.9460e+00 -9.4486e-01 -3.2559e+00 -1.1383e+00 +2.4925e+00 -2.5095e+00 +8.0383e-01 -4.7298e+00 +8.8745e-01 +3.8622e+00
57 +8.042401075e+02 +8.042401075e+02 +1.804240107e+03 +1.804240107e+03 -2.1622e+00 -4.0615e+00 -4.4857e+00 +4.3819e+00 +1.7712e+00 +2.7259e+00 +2.6928e+00 +2.0359e+00 +4.3742e+00 -4.0531e+00 -3.2555e+00 -4.1467e+00 -6.3627e-01 +3.4996e+00 -2.6397e+00 -7.5665e-01 +4.5526e+00 -3.1879e+00 -2.0456e+00 -1.0929e+00
