%
% index = 1040, name = bbob_f017_i02_d03__bbob_f017_i04_d03
% instance = 1, reference value = 9.691415991632990e-01
% function evaluation | indicator value | target hit
1	8.920616974516193e-01	1.000000000000000e+00
2	5.290656852776601e-01	6.309573444801930e-01
3	5.290656852776601e-01	6.309573444801930e-01
5	4.703166664781397e-01	5.011872336272720e-01
6	4.703166664781397e-01	5.011872336272720e-01
13	3.814290174011569e-01	3.981071705534970e-01
15	3.814290174011569e-01	3.981071705534970e-01
30	3.811988239065200e-01	3.981071705534970e-01
%
% index = 1041, name = bbob_f017_i03_d03__bbob_f017_i05_d03
% instance = 2, reference value = 9.673138302009920e-01
% function evaluation | indicator value | target hit
1	1.016972231219582e+00	1.258925411794167e+00
2	3.512392746263565e-01	3.981071705534970e-01
3	3.512392746263565e-01	3.981071705534970e-01
6	3.512392746263565e-01	3.981071705534970e-01
9	2.864395520717224e-01	3.162277660168380e-01
15	2.864395520717224e-01	3.162277660168380e-01
30	2.864395520717224e-01	3.162277660168380e-01
%
% index = 1042, name = bbob_f017_i07_d03__bbob_f017_i08_d03
% instance = 3, reference value = 9.129904486290170e-01
% function evaluation | indicator value | target hit
1	9.447301325964546e-01	1.000000000000000e+00
3	9.401354855031316e-01	1.000000000000000e+00
6	9.188981564290016e-01	1.000000000000000e+00
12	6.936717114523075e-01	7.943282347242810e-01
15	6.936717114523075e-01	7.943282347242810e-01
30	6.610181964083871e-01	7.943282347242810e-01
%
% index = 1043, name = bbob_f017_i09_d03__bbob_f017_i10_d03
% instance = 4, reference value = 8.264673228580099e-01
% function evaluation | indicator value | target hit
1	7.653966351389040e-01	7.943282347242810e-01
3	7.653966351389040e-01	7.943282347242810e-01
6	7.653966351389040e-01	7.943282347242810e-01
15	7.653966351389040e-01	7.943282347242810e-01
30	7.653966351389040e-01	7.943282347242810e-01
%
% index = 1044, name = bbob_f017_i11_d03__bbob_f017_i12_d03
% instance = 5, reference value = 9.908850027795700e-01
% function evaluation | indicator value | target hit
1	3.328876376425329e-01	3.981071705534970e-01
3	2.849878582731324e-01	3.162277660168380e-01
4	1.123805953685628e-01	1.258925411794170e-01
6	1.055618494524889e-01	1.258925411794170e-01
7	9.869601807036077e-02	1.000000000000000e-01
15	7.877562281602946e-02	7.943282347242800e-02
30	6.350845753719792e-02	7.943282347242800e-02
%
% index = 1045, name = bbob_f017_i13_d03__bbob_f017_i14_d03
% instance = 6, reference value = 1.000000000000000e+00
% function evaluation | indicator value | target hit
1	1.013963083879300e+00	1.258925411794167e+00
3	6.373747796649560e-01	7.943282347242810e-01
4	4.611932520413577e-01	5.011872336272720e-01
5	3.727952232597378e-01	3.981071705534970e-01
6	3.326153562316899e-01	3.981071705534970e-01
7	2.041696252960896e-01	2.511886431509580e-01
10	1.837033476402131e-01	1.995262314968880e-01
15	1.786451167594960e-01	1.995262314968880e-01
25	1.521991212693318e-01	1.584893192461110e-01
30	1.521991212693318e-01	1.584893192461110e-01
%
% index = 1046, name = bbob_f017_i15_d03__bbob_f017_i16_d03
% instance = 7, reference value = 1.000000000000000e+00
% function evaluation | indicator value | target hit
1	1.344888926456824e+00	1.584893192461113e+00
3	1.045376249146828e+00	1.258925411794167e+00
6	9.604862069232770e-01	1.000000000000000e+00
15	9.604862069232770e-01	1.000000000000000e+00
30	9.604862069232770e-01	1.000000000000000e+00
%
% index = 1047, name = bbob_f017_i17_d03__bbob_f017_i18_d03
% instance = 8, reference value = 1.000000000000000e+00
% function evaluation | indicator value | target hit
1	1.060758767027462e+00	1.258925411794167e+00
3	1.038666804271084e+00	1.258925411794167e+00
4	7.130840782754659e-01	7.943282347242810e-01
6	7.130840782754659e-01	7.943282347242810e-01
15	7.130840782754659e-01	7.943282347242810e-01
30	7.130840782754659e-01	7.943282347242810e-01
%
% index = 1048, name = bbob_f017_i19_d03__bbob_f017_i21_d03
% instance = 9, reference value = 1.000000000000000e+00
% function evaluation | indicator value | target hit
1	1.080221926251903e+00	1.258925411794167e+00
3	1.080221926251903e+00	1.258925411794167e+00
6	1.001216113679045e+00	1.258925411794167e+00
15	1.001216113679045e+00	1.258925411794167e+00
30	1.001216113679045e+00	1.258925411794167e+00
%
% index = 1049, name = bbob_f017_i21_d03__bbob_f017_i22_d03
% instance = 10, reference value = 1.000000000000000e+00
% function evaluation | indicator value | target hit
1	1.143980857967051e+00	1.258925411794167e+00
3	1.143980857967051e+00	1.258925411794167e+00
6	1.030283981947244e+00	1.258925411794167e+00
15	1.030283981947244e+00	1.258925411794167e+00
30	1.030283981947244e+00	1.258925411794167e+00
