% instance = 1, name = bbob_f002_i02_d20__bbob_f020_i04_d20
% function evaluation | 2 objectives 
1	5.296631596315742e+06	1.430553478190063e+05	
5	8.342982325142859e+06	9.954287678340945e+04	
8	2.721028641844219e+07	9.158683032385010e+04	
31	1.786360039413464e+07	9.916592808336364e+04	
40	1.195967109704671e+07	8.544170482498370e+04	
% instance = 2, name = bbob_f002_i03_d20__bbob_f020_i05_d20
% function evaluation | 2 objectives 
1	3.944811247762211e+07	1.549350975609651e+05	
2	2.824086102341370e+07	2.081788668399492e+05	
3	5.344622951922461e+07	9.529529947208401e+04	
4	1.718439427554953e+07	2.956534366433459e+05	
5	1.353808002222402e+07	9.120164519426698e+04	
7	1.261657277468035e+07	1.480377916776196e+05	
8	1.696083640390662e+07	8.808187938886050e+04	
9	4.212277749434982e+07	4.554455037605448e+04	
17	4.186638097619811e+07	4.442719289425807e+04	
19	1.107468290656149e+07	2.108104170890900e+05	
21	1.148355736552879e+07	1.682501325582173e+05	
23	1.369497144983339e+07	4.852168127447723e+04	
24	6.119965097651028e+06	4.137374808839805e+05	
25	4.017501618731081e+06	2.816202193764388e+05	
26	9.041793840477925e+06	2.809277145436901e+05	
28	3.043997494560046e+06	1.352207772032603e+05	
% instance = 3, name = bbob_f002_i07_d20__bbob_f020_i08_d20
% function evaluation | 2 objectives 
1	3.776096544297394e+07	1.779373397554627e+05	
2	2.275628533388593e+07	1.921579965783059e+05	
4	9.785512014281625e+06	1.350047200739599e+05	
5	1.101798723631886e+07	1.049746708270858e+05	
6	1.503003166295217e+07	8.658887471099530e+04	
8	9.435341248193387e+06	5.966164895000730e+04	
22	6.205984572781365e+06	7.238210461285753e+04	
27	5.034859243955617e+06	1.769436201866092e+05	
% instance = 4, name = bbob_f002_i09_d20__bbob_f020_i10_d20
% function evaluation | 2 objectives 
1	6.935422132417576e+07	1.318506383235456e+05	
2	5.061029193088027e+07	1.299616415306915e+05	
4	6.272487906979819e+06	2.241523557033387e+05	
5	2.153073024045210e+07	1.028728638509827e+05	
6	6.166171521280253e+06	1.487771827472575e+05	
9	4.579125973545017e+07	7.270981924869446e+04	
15	3.395424908178936e+07	9.588699270345279e+04	
17	4.576300280970973e+07	5.158209018295019e+04	
19	1.484840932633119e+07	6.637669053647142e+04	
21	5.687414526977655e+06	1.544984073003708e+05	
23	2.121471688270980e+07	5.412961062048677e+04	
26	7.575850584645619e+06	1.144426655453587e+05	
30	2.413897121196639e+06	1.771340577722004e+05	
% instance = 5, name = bbob_f002_i11_d20__bbob_f020_i12_d20
% function evaluation | 2 objectives 
1	2.443015665871274e+07	3.341144658120919e+04	
2	1.562063232907495e+07	1.947784244667374e+05	
5	7.291486237785769e+06	1.511375978169619e+05	
15	1.721178766421603e+07	1.397962394055599e+05	
28	8.147916767574398e+06	8.165923479675036e+04	
33	1.977577346793255e+06	8.280654120262084e+04	
% instance = 6, name = bbob_f002_i13_d20__bbob_f020_i14_d20
% function evaluation | 2 objectives 
1	1.252796978127254e+07	8.955544567402944e+04	
2	9.820338548348766e+06	1.224651952907676e+05	
5	3.719526268497755e+06	6.604666710827829e+04	
28	1.740455052103376e+07	4.633164828758188e+04	
% instance = 7, name = bbob_f002_i15_d20__bbob_f020_i16_d20
% function evaluation | 2 objectives 
1	2.827515931977195e+07	9.598638119283406e+04	
2	2.331798917457002e+07	1.359614405730551e+05	
3	3.223463712041840e+07	4.927308856504083e+04	
5	7.784908192387484e+06	1.519282809456363e+05	
6	5.130369039977276e+06	1.409256862349435e+05	
7	1.685942722838453e+07	8.789748051981028e+04	
9	1.234048383406344e+07	9.658940093265053e+04	
17	1.087763253484415e+07	6.800538879779386e+04	
23	5.826518885965367e+06	4.547015914527795e+04	
% instance = 8, name = bbob_f002_i17_d20__bbob_f020_i18_d20
% function evaluation | 2 objectives 
1	3.471631412118994e+07	1.410924942794475e+05	
2	2.203459433454853e+07	1.793978419944543e+05	
3	3.790208718768515e+07	1.024335013397867e+05	
4	2.089350222716313e+07	3.609186244344562e+05	
5	1.080743932305142e+07	2.082821018898624e+05	
6	5.396945345546551e+06	1.268919267541054e+05	
9	2.111099178963701e+07	1.025385312423788e+05	
19	7.651597515915578e+06	1.032249537914716e+05	
23	4.109199729572588e+06	1.284641131967272e+05	
29	3.511779457197632e+06	6.371807218266292e+04	
% instance = 9, name = bbob_f002_i19_d20__bbob_f020_i21_d20
% function evaluation | 2 objectives 
1	2.654878003161436e+07	2.827924852854025e+05	
2	2.565305284447974e+07	1.383024731713841e+05	
3	1.945652645159785e+07	3.211958052317948e+05	
6	2.449075094044811e+07	8.112350584775738e+04	
8	3.952060277574636e+07	6.006053339723767e+04	
9	2.922015718126923e+06	2.688310722384675e+05	
10	2.377068453496722e+07	1.442512924331482e+05	
20	2.311654108022569e+07	2.493569796335884e+05	
23	1.558852901074466e+07	1.418811884396239e+05	
35	8.065054265026614e+05	2.701225141906518e+05	
% instance = 10, name = bbob_f002_i21_d20__bbob_f020_i22_d20
% function evaluation | 2 objectives 
1	3.906219135633108e+07	2.093118918965004e+05	
2	2.362997920830667e+07	2.643895666094487e+05	
4	8.512859816741452e+06	2.411327211975394e+05	
5	1.024312433573217e+07	1.294115235732496e+05	
6	3.492459822955881e+06	2.175187554407640e+05	
8	4.805324028704767e+06	7.908027807803630e+04	
16	1.532017269084975e+07	7.751335068853613e+04	
