% instance = 1, name = bbob_f014_i02_d10__bbob_f014_i04_d10
% function evaluation | 2 objectives 
1	1.028941066117451e+04	3.311657005265820e+03	
2	5.894134068389577e+03	3.036565946262589e+03	
6	1.415113869846179e+03	4.162238676435170e+03	
7	9.106924049689835e+01	5.108391560978086e+02	
9	5.350310759881371e+02	3.969948543760768e+02	
18	4.669617875939608e+02	4.602643923935705e+02	
% instance = 2, name = bbob_f014_i03_d10__bbob_f014_i05_d10
% function evaluation | 2 objectives 
1	2.620113185992774e+03	1.026038094831308e+03	
3	2.862268197329219e+03	6.729182707442313e+02	
7	3.418922865660476e+02	1.452265821389115e+03	
10	2.461443175230435e+03	5.575571778931139e+02	
12	1.549583384294827e+03	8.623794000600134e+02	
16	1.144176290973556e+03	1.383203947641833e+02	
20	3.405561703824544e+02	3.651062670597548e+02	
% instance = 3, name = bbob_f014_i07_d10__bbob_f014_i08_d10
% function evaluation | 2 objectives 
1	7.109621452032238e+02	6.797266553523704e+03	
2	3.112439129490112e+02	1.903031679016044e+03	
3	3.437830308947200e+03	1.889402246993963e+03	
5	8.329448847488409e+02	1.296878725630324e+03	
6	5.196864730440402e+02	7.458358948362511e+02	
7	4.503230298352306e+03	4.010774397468637e+02	
10	2.512721931224915e+02	2.652342005313179e+02	
11	7.507450523096804e+01	1.365639488676618e+03	
12	3.598402929967367e+01	1.658189852306652e+03	
% instance = 4, name = bbob_f014_i09_d10__bbob_f014_i10_d10
% function evaluation | 2 objectives 
1	8.602649648261675e+03	4.034282646894113e+03	
2	3.854890249730901e+02	5.955658459675665e+03	
3	1.576571348642321e+03	4.278309686028817e+03	
4	2.732221644359307e+03	1.904609322898491e+03	
5	2.452324596244851e+03	2.017224848085938e+03	
8	1.809505395967644e+03	3.774657234376550e+03	
11	1.306893862846991e+03	3.869123029895753e+03	
12	4.079101946072375e+02	9.712007927757179e+02	
% instance = 5, name = bbob_f014_i11_d10__bbob_f014_i12_d10
% function evaluation | 2 objectives 
1	2.192874574239610e+03	8.073605601929787e+02	
2	1.987809221948494e+03	8.771411792489747e+02	
4	8.099153987634350e+02	2.116656649391487e+03	
5	7.221252006079300e+02	2.351696437958583e+02	
% instance = 6, name = bbob_f014_i13_d10__bbob_f014_i14_d10
% function evaluation | 2 objectives 
1	2.261240029798412e+01	9.098211534730360e+02	
2	3.312506622240629e+02	1.480617893854042e+02	
% instance = 7, name = bbob_f014_i15_d10__bbob_f014_i16_d10
% function evaluation | 2 objectives 
1	1.036010886835877e+04	4.596290812770462e+02	
2	1.053944285530668e+03	9.387502522269705e+02	
4	1.689702286274597e+03	7.543145963518567e+02	
8	5.001060772850634e+02	4.496530212539592e+02	
17	2.497453900526023e+02	3.014203789410822e+03	
% instance = 8, name = bbob_f014_i17_d10__bbob_f014_i18_d10
% function evaluation | 2 objectives 
1	6.370687129362193e+03	5.048913307595408e+03	
2	4.760397699272892e+02	4.041371400802092e+03	
3	1.767929515420948e+02	5.395470748111322e+02	
12	1.476104867457105e+02	1.030383412924636e+04	
% instance = 9, name = bbob_f014_i19_d10__bbob_f014_i21_d10
% function evaluation | 2 objectives 
1	7.150088330281791e+02	3.791697225756062e+03	
4	3.717030535310410e+03	7.396146570997143e+02	
5	2.306355171218257e+03	4.678235838740066e+02	
7	3.975598001170845e+02	2.143912479751987e+03	
17	1.679939849279883e+03	1.192016330159707e+03	
20	7.265238094099079e+02	1.368345743285528e+03	
% instance = 10, name = bbob_f014_i21_d10__bbob_f014_i22_d10
% function evaluation | 2 objectives 
1	2.273447367065938e+03	1.579263826436379e+04	
2	3.067948291704002e+03	4.725107407648223e+03	
3	2.534307812575779e+04	2.762283008595694e+03	
4	8.887308399000690e+02	1.587908510740345e+03	
6	3.988631080184014e+02	1.538181239362464e+03	
9	1.020192149091411e+04	6.646613795338551e+02	
11	6.349651943950978e+02	3.725045842336199e+02	
12	2.982847332827928e+02	7.191919133925676e+02	
