% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.059163390e+05 +7.059163390e+05 +7.059522390e+05 +7.059522390e+05 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
50 +4.068020151e+05 +4.068020151e+05 +4.068379151e+05 +4.068379151e+05 +4.3704e+00 +9.3898e-01 +4.8968e-01 +2.3435e+00 -2.2172e+00 +1.5707e+00 -3.7321e-01 -3.4173e-01 +1.6421e+00 -3.7929e+00 +1.6719e+00 -2.4281e+00 -2.9618e+00 +7.6418e-01 +1.2179e+00 -4.9283e+00 +3.7842e+00 +4.4534e+00 -1.7220e+00 -2.6607e+00
% function evaluation | noise-free fitness - Fopt (3.137000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.156056441e+06 +1.156056441e+06 +1.156087811e+06 +1.156087811e+06 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
3 +9.863827971e+05 +9.863827971e+05 +9.864141671e+05 +9.864141671e+05 -2.6679e+00 -1.2322e+00 -3.6820e+00 +4.5300e-01 -3.5204e+00 -3.8737e+00 +3.3869e+00 -3.0534e+00 +8.7957e-01 -1.5340e+00 -4.7361e-01 +2.2285e+00 -7.2479e-01 -2.2236e+00 -2.4504e+00 +2.6317e+00 -4.5239e+00 +3.5344e+00 -3.2576e-01 -4.4305e+00
6 +5.262278437e+05 +5.262278437e+05 +5.262592137e+05 +5.262592137e+05 +3.8828e+00 -1.1870e+00 +1.6380e+00 +3.8079e+00 -4.8715e+00 +3.3393e+00 -1.0053e+00 -3.8455e+00 -4.0750e+00 +2.6397e+00 +2.4054e+00 +1.4662e+00 +3.7271e+00 -3.6561e+00 -9.0829e-01 +1.6897e-01 +1.9600e-01 -3.3165e+00 -3.0456e+00 +1.5240e+00
21 +3.808835551e+05 +3.808835551e+05 +3.809149251e+05 +3.809149251e+05 +2.3635e+00 -3.7720e+00 +1.2750e-01 +3.9834e+00 -4.6997e+00 +1.4501e+00 +7.2027e-01 -4.3013e+00 +1.6089e+00 -8.0913e-01 -3.3584e+00 -2.2052e+00 +4.3441e+00 +3.9047e-01 +2.6659e+00 -1.4712e+00 -2.8556e-01 -1.2209e+00 -4.6016e+00 +3.2024e+00
41 +1.805922730e+05 +1.805922730e+05 +1.806236430e+05 +1.806236430e+05 +3.8454e+00 +2.5948e+00 -2.1763e+00 +4.7606e+00 -1.2629e+00 -4.6498e-01 -1.2977e+00 -8.6372e-01 -3.2499e+00 -4.4530e+00 -2.2170e+00 -4.4733e+00 -1.7253e+00 +1.3704e+00 +2.1134e+00 +1.3643e-01 -2.8062e+00 -4.3562e-01 +1.8563e+00 -4.0291e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.406649111e+05 +6.406649111e+05 +6.396649111e+05 +6.396649111e+05 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
7 +5.782759075e+05 +5.782759075e+05 +5.772759075e+05 +5.772759075e+05 +2.0033e+00 -2.6516e+00 -4.7740e+00 -2.9879e+00 +2.3158e+00 +2.9826e+00 +2.1466e+00 -3.9937e+00 -2.5674e+00 -4.0520e+00 -3.2085e+00 +3.8712e+00 -3.8887e+00 +1.7920e+00 -3.7272e+00 +3.4466e+00 -4.7782e+00 +4.3807e+00 -1.3294e+00 +8.3550e-02
19 +3.131274813e+05 +3.131274813e+05 +3.121274813e+05 +3.121274813e+05 +1.0447e+00 +9.9770e-01 +2.7568e+00 +7.5323e-02 +1.1842e+00 -1.8764e+00 -3.4019e-03 +3.4584e+00 -2.2559e+00 -2.5383e+00 -4.9492e+00 +3.3619e+00 -3.3091e-01 -5.9185e-01 +1.3378e+00 -4.0070e+00 +2.1210e+00 +1.0354e+00 -4.9821e+00 +2.1663e+00
28 +2.048635654e+05 +2.048635654e+05 +2.038635654e+05 +2.038635654e+05 +5.4614e-01 -3.0977e-01 +8.1796e-01 +9.0493e-01 -1.9825e+00 -3.6743e+00 +3.0444e+00 +1.2164e+00 +3.5955e+00 -1.8303e+00 +1.9040e+00 -3.8622e-01 -3.3380e+00 +3.3910e+00 -1.0533e+00 -6.7269e-01 -1.9267e+00 +4.5029e+00 -8.4398e-01 +1.7211e+00
% function evaluation | noise-free fitness - Fopt (1.319200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.342211676e+06 +1.342211676e+06 +1.342343596e+06 +1.342343596e+06 +3.6984e+00 +1.1787e+00 +2.1331e+00 -1.5447e+00 +3.2123e+00 +1.0097e+00 -8.5655e-01 +7.0947e-02 +3.0123e+00 +1.5050e-02 -5.0150e-01 +6.4328e-01 -4.3597e+00 +2.2217e+00 +3.8513e-01 -3.6670e+00 -2.7578e+00 +3.4628e+00 +1.6864e+00 -3.2108e+00
