%
% index = 330, name = bbob_f008_i02_d02__bbob_f021_i04_d02
% instance = 1, reference value = 9.297588039656510e-01
% function evaluation | indicator value | target hit
1	1.469656578871068e+00	1.584893192461113e+00
2	1.078220677776620e+00	1.258925411794167e+00
4	9.298050192190045e-01	1.000000000000000e+00
8	5.903665558605824e-01	6.309573444801930e-01
9	2.045008115751685e-01	2.511886431509580e-01
10	2.045008115751685e-01	2.511886431509580e-01
16	1.988870269508840e-01	1.995262314968880e-01
20	1.965056687870104e-01	1.995262314968880e-01
%
% index = 331, name = bbob_f008_i03_d02__bbob_f021_i05_d02
% instance = 2, reference value = 9.968259217133650e-01
% function evaluation | indicator value | target hit
1	2.006589760989500e+01	1.000000000000000e+01
2	6.791031991767753e+00	7.943282347242815e+00
4	9.118215988835180e-01	1.000000000000000e+00
6	6.516855778444898e-01	7.943282347242810e-01
10	6.516855778444898e-01	7.943282347242810e-01
20	6.516855778444898e-01	7.943282347242810e-01
%
% index = 332, name = bbob_f008_i07_d02__bbob_f021_i08_d02
% instance = 3, reference value = 9.909643708878010e-01
% function evaluation | indicator value | target hit
1	1.870385909144497e+01	1.000000000000000e+01
2	5.697662503620849e+00	6.309573444801932e+00
4	1.018330292806948e+00	1.258925411794167e+00
10	1.018330292806948e+00	1.258925411794167e+00
13	4.554810231422207e-01	5.011872336272720e-01
20	4.554810231422207e-01	5.011872336272720e-01
%
% index = 333, name = bbob_f008_i09_d02__bbob_f021_i10_d02
% instance = 4, reference value = 9.672513561466630e-01
% function evaluation | indicator value | target hit
1	9.272258677117914e-01	1.000000000000000e+00
2	4.494122051502489e-01	5.011872336272720e-01
4	4.490096152632250e-01	5.011872336272720e-01
9	1.903156725398877e-01	1.995262314968880e-01
10	1.903156725398877e-01	1.995262314968880e-01
20	1.835722186096939e-01	1.995262314968880e-01
%
% index = 334, name = bbob_f008_i11_d02__bbob_f021_i12_d02
% instance = 5, reference value = 9.561073631300140e-01
% function evaluation | indicator value | target hit
1	9.607826685045009e-01	1.000000000000000e+00
2	6.452736767674745e-01	7.943282347242810e-01
4	6.452736767674745e-01	7.943282347242810e-01
6	5.572450649396989e-01	6.309573444801930e-01
10	5.572450649396989e-01	6.309573444801930e-01
12	2.905807056355784e-01	3.162277660168380e-01
19	2.378287182053935e-01	2.511886431509580e-01
20	2.378287182053935e-01	2.511886431509580e-01
%
% index = 335, name = bbob_f008_i13_d02__bbob_f021_i14_d02
% instance = 6, reference value = 1.000000000000000e+00
% function evaluation | indicator value | target hit
1	2.137439042914483e+01	1.000000000000000e+01
2	6.620147157482215e+00	7.943282347242815e+00
4	5.425215166430191e-01	6.309573444801930e-01
10	5.425215166430191e-01	6.309573444801930e-01
20	5.425215166430191e-01	6.309573444801930e-01
%
% index = 336, name = bbob_f008_i15_d02__bbob_f021_i16_d02
% instance = 7, reference value = 1.000000000000000e+00
% function evaluation | indicator value | target hit
1	1.129222349814419e+00	1.258925411794167e+00
2	1.000258256419653e+00	1.258925411794167e+00
4	1.000258256419653e+00	1.258925411794167e+00
5	5.916597132406579e-01	6.309573444801930e-01
10	5.916597132406579e-01	6.309573444801930e-01
12	6.811380411288481e-02	7.943282347242800e-02
20	6.811380411288481e-02	7.943282347242800e-02
%
% index = 337, name = bbob_f008_i17_d02__bbob_f021_i18_d02
% instance = 8, reference value = 1.000000000000000e+00
% function evaluation | indicator value | target hit
1	9.143931199719441e+01	1.000000000000000e+01
2	3.724407877727084e+01	1.000000000000000e+01
4	1.546080794933457e+00	1.584893192461113e+00
7	1.060766137671380e+00	1.258925411794167e+00
10	1.060766137671380e+00	1.258925411794167e+00
20	1.060766137671380e+00	1.258925411794167e+00
%
% index = 338, name = bbob_f008_i19_d02__bbob_f021_i21_d02
% instance = 9, reference value = 1.000000000000000e+00
% function evaluation | indicator value | target hit
1	8.266688302160379e-01	1.000000000000000e+00
2	8.266688302160379e-01	1.000000000000000e+00
3	3.005264855560773e-01	3.162277660168380e-01
4	2.799698700894225e-01	3.162277660168380e-01
6	1.730143172185498e-01	1.995262314968880e-01
10	1.620062106044944e-01	1.995262314968880e-01
19	1.401650481436314e-01	1.584893192461110e-01
20	1.401650481436314e-01	1.584893192461110e-01
%
% index = 339, name = bbob_f008_i21_d02__bbob_f021_i22_d02
% instance = 10, reference value = 1.000000000000000e+00
% function evaluation | indicator value | target hit
1	2.821100478088533e+00	3.162277660168379e+00
2	1.004876567110904e+00	1.258925411794167e+00
4	1.348184373486319e-01	1.584893192461110e-01
10	1.348184373486319e-01	1.584893192461110e-01
20	1.348184373486319e-01	1.584893192461110e-01
